fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
173161,Rice crackers,Snacks,SR Legacy,416.0,10.0,82.6,5.0,0.0,0.0,233.0,0.0,0.0
167967,"Snacks, rice cakes, brown rice, buckwheat",Snacks,SR Legacy,380.0,9.0,80.1,3.5,3.8,0.0,116.0,11.0,1.14
169679,"Snacks, rice cakes, brown rice, corn",Snacks,SR Legacy,385.0,8.4,81.2,3.2,2.9,0.0,167.0,9.0,1.17
169680,"Snacks, rice cakes, brown rice, multigrain",Snacks,SR Legacy,387.0,8.5,80.1,3.5,3.0,0.0,252.0,21.0,1.96
168855,"Snacks, rice cakes, brown rice, rye",Snacks,SR Legacy,386.0,8.1,79.9,3.8,4.0,0.0,110.0,21.0,1.8
167966,"Snacks, rice cracker brown rice, plain",Snacks,SR Legacy,387.0,8.2,81.5,2.8,4.2,0.0,166.0,11.0,1.49
171861,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and potato starch",Baked Products,SR Legacy,310.0,7.99,55.1,6.4,3.6,0.0,707.0,82.0,0.78
171863,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour",Baked Products,SR Legacy,257.0,5.65,40.2,8.2,2.9,0.0,544.0,41.0,0.89
168951,"Rice and vermicelli mix, rice pilaf flavor, unprepared","Meals, Entrees, and Side Dishes",SR Legacy,359.0,10.4,76.3,1.37,1.2,0.0,1300.0,83.0,2.44
170251,"Snacks, rice cakes, brown rice, buckwheat, unsalted",Snacks,SR Legacy,380.0,9.0,80.1,3.5,0.0,0.0,4.0,11.0,1.14
170252,"Snacks, rice cakes, brown rice, multigrain, unsalted",Snacks,SR Legacy,387.0,8.5,80.1,3.5,0.0,0.0,4.0,21.0,1.96
170250,"Snacks, rice cakes, brown rice, plain, unsalted",Snacks,SR Legacy,387.0,8.2,81.5,2.8,4.2,0.0,26.0,11.0,1.49
167557,"Snacks, rice cakes, brown rice, sesame seed",Snacks,SR Legacy,392.0,7.6,81.5,3.8,5.4,0.0,227.0,12.0,1.58
174923,"Bread, rice bran",Baked Products,SR Legacy,243.0,8.9,43.5,4.6,4.9,0.0,269.0,69.0,3.61
1104812,"Flour, rice, brown",Cereal Grains and Pasta,Foundation,365.0,7.19,75.5,3.85,0.0,0.0,1.0,10.0,1.5
1104867,"Flour, rice, glutinous",Cereal Grains and Pasta,Foundation,1500.0,6.69,80.1,1.16,0.0,0.0,6.0,10.0,0.34
171013,"Oil, rice bran",Fats and Oils,SR Legacy,3700.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.07
